id,airline,airline_id,src_airport,src_airport_id,dst_airport,dst_airport_id,codeshare,stops,airplane,airlines_id,airports_id,airports_id1,airports_id2,airports_id3
1,2B,410,AER,2965,KZN,2990,,0,CR2,0,0,0,0,0
2,2B,410,ASF,2966,KZN,2990,,0,CR2,0,0,0,0,0
3,2B,410,ASF,2966,MRV,2962,,0,CR2,0,0,0,0,0
4,2B,410,CEK,2968,KZN,2990,,0,CR2,0,0,0,0,0
5,2B,410,CEK,2968,OVB,4078,,0,CR2,0,0,0,0,0
6,2B,410,DME,4029,KZN,2990,,0,CR2,0,0,0,0,0
7,2B,410,DME,4029,NBC,6969,,0,CR2,0,0,0,0,0
8,2B,410,DME,4029,UUA,6160,,0,CR2,0,0,0,0,0
9,2B,410,EGO,6156,KGD,2952,,0,CR2,0,0,0,0,0
10,2B,410,EGO,6156,KZN,2990,,0,CR2,0,0,0,0,0
11,2B,410,GYD,2922,NBC,6969,,0,CR2,0,0,0,0,0
12,2B,410,KGD,2952,EGO,6156,,0,CR2,0,0,0,0,0
13,2B,410,KZN,2990,AER,2965,,0,CR2,0,0,0,0,0
14,2B,410,KZN,2990,ASF,2966,,0,CR2,0,0,0,0,0
15,2B,410,KZN,2990,CEK,2968,,0,CR2,0,0,0,0,0
16,2B,410,KZN,2990,DME,4029,,0,CR2,0,0,0,0,0
17,2B,410,KZN,2990,EGO,6156,,0,CR2,0,0,0,0,0
18,2B,410,KZN,2990,LED,2948,,0,CR2,0,0,0,0,0
19,2B,410,KZN,2990,SVX,2975,,0,CR2,0,0,0,0,0
20,2B,410,LED,2948,KZN,2990,,0,CR2,0,0,0,0,0
21,2B,410,LED,2948,NBC,6969,,0,CR2,0,0,0,0,0
22,2B,410,LED,2948,UUA,6160,,0,CR2,0,0,0,0,0
23,2B,410,MRV,2962,ASF,2966,,0,CR2,0,0,0,0,0
24,2B,410,NBC,6969,DME,4029,,0,CR2,0,0,0,0,0
25,2B,410,NBC,6969,GYD,2922,,0,CR2,0,0,0,0,0
26,2B,410,NBC,6969,LED,2948,,0,CR2,0,0,0,0,0
27,2B,410,NBC,6969,SVX,2975,,0,CR2,0,0,0,0,0
28,2B,410,NJC,2972,SVX,2975,,0,CR2,0,0,0,0,0
29,2B,410,NJC,2972,UUA,6160,,0,CR2,0,0,0,0,0
30,2B,410,NUX,4364,SVX,2975,,0,CR2,0,0,0,0,0
31,2B,410,OVB,4078,CEK,2968,,0,CR2,0,0,0,0,0
32,2B,410,OVB,4078,SVX,2975,,0,CR2,0,0,0,0,0
33,2B,410,SVX,2975,KZN,2990,,0,CR2,0,0,0,0,0
34,2B,410,SVX,2975,NBC,6969,,0,CR2,0,0,0,0,0
35,2B,410,SVX,2975,NJC,2972,,0,CR2,0,0,0,0,0
36,2B,410,SVX,2975,NUX,4364,,0,CR2,0,0,0,0,0
37,2B,410,SVX,2975,OVB,4078,,0,CR2,0,0,0,0,0
38,2B,410,UUA,6160,DME,4029,,0,CR2,0,0,0,0,0
39,2B,410,UUA,6160,LED,2948,,0,CR2,0,0,0,0,0
40,2B,410,UUA,6160,NJC,2972,,0,CR2,0,0,0,0,0
41,2G,1654,BTK,2936,IKT,2937,,0,A81,0,0,0,0,0
42,2G,1654,BTK,2936,OVB,4078,,0,A81,0,0,0,0,0
43,2G,1654,CEK,2968,OVB,4078,,0,A81,0,0,0,0,0
44,2G,1654,HTA,2935,IKT,2937,,0,AN4,0,0,0,0,0
45,2G,1654,IKT,2937,BTK,2936,,0,A81,0,0,0,0,0
46,2G,1654,IKT,2937,HTA,2935,,0,AN4,0,0,0,0,0
47,2G,1654,IKT,2937,ODO,8944,,0,AN4,0,0,0,0,0
48,2G,1654,IKT,2937,OVB,4078,,0,A81,0,0,0,0,0
49,2G,1654,IKT,2937,UKX,6924,,0,AN4,0,0,0,0,0
50,2G,1654,IKT,2937,ULK,9026,,0,AN4,0,0,0,0,0
51,2G,1654,IKT,2937,YKS,2923,,0,A81,0,0,0,0,0
52,2G,1654,MJZ,2925,OVB,4078,,0,A81,0,0,0,0,0
53,2G,1654,ODO,8944,IKT,2937,,0,AN4,0,0,0,0,0
54,2G,1654,OVB,4078,BTK,2936,,0,A81,0,0,0,0,0
55,2G,1654,OVB,4078,CEK,2968,,0,A81,0,0,0,0,0
56,2G,1654,OVB,4078,IKT,2937,,0,A81,0,0,0,0,0
57,2G,1654,UKX,6924,IKT,2937,,0,AN4,0,0,0,0,0
58,2G,1654,ULK,9026,IKT,2937,,0,AN4,0,0,0,0,0
59,2G,1654,YKS,2923,IKT,2937,,0,A81,0,0,0,0,0
60,2I,8359,AYP,2786,LIM,2789,,0,142,0,0,0,0,0
61,2I,8359,CUZ,2812,LIM,2789,,0,142 141,0,0,0,0,0
62,2I,8359,CUZ,2812,PEM,2808,,0,142,0,0,0,0,0
63,2I,8359,HUU,6067,LIM,2789,,0,141,0,0,0,0,0
64,2I,8359,IQT,2801,PCL,2781,,0,143,0,0,0,0,0
65,2I,8359,IQT,2801,TPP,2806,,0,142,0,0,0,0,0
66,2I,8359,LIM,2789,AYP,2786,,0,142,0,0,0,0,0
67,2I,8359,LIM,2789,CUZ,2812,,0,142 141,0,0,0,0,0
68,2I,8359,LIM,2789,HUU,6067,,0,141,0,0,0,0,0
69,2I,8359,LIM,2789,PCL,2781,,0,143 146,0,0,0,0,0
70,2I,8359,LIM,2789,TPP,2806,,0,142 146,0,0,0,0,0
71,2I,8359,PCL,2781,IQT,2801,,0,143,0,0,0,0,0
72,2I,8359,PCL,2781,LIM,2789,,0,143 146,0,0,0,0,0
73,2I,8359,PCL,2781,TPP,2806,,0,146,0,0,0,0,0
74,2I,8359,PEM,2808,CUZ,2812,,0,142,0,0,0,0,0
75,2I,8359,TPP,2806,IQT,2801,,0,142,0,0,0,0,0
76,2I,8359,TPP,2806,LIM,2789,,0,142 146,0,0,0,0,0
77,2I,8359,TPP,2806,PCL,2781,,0,146,0,0,0,0,0
78,2J,470,ABJ,253,BOY,247,,0,CRJ,0,0,0,0,0
79,2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,0,0,0,0,0
80,2J,470,ACC,248,OUA,246,,0,CRJ,0,0,0,0,0
81,2J,470,BKO,1044,ABJ,253,,0,M87,0,0,0,0,0
82,2J,470,BKO,1044,DKR,1084,,0,M87,0,0,0,0,0
83,2J,470,BKO,1044,OUA,246,,0,CRJ,0,0,0,0,0
84,2J,470,BOY,247,ABJ,253,,0,CRJ,0,0,0,0,0
85,2J,470,BOY,247,OUA,246,,0,CRJ,0,0,0,0,0
86,2J,470,COO,245,LFW,298,,0,M87,0,0,0,0,0
87,2J,470,COO,245,OUA,246,,0,M87,0,0,0,0,0
88,2J,470,DKR,1084,BKO,1044,,0,M87,0,0,0,0,0
89,2J,470,DKR,1084,OUA,246,,0,M87,0,0,0,0,0
90,2J,470,LFW,298,OUA,246,,0,M87 CRJ,0,0,0,0,0
91,2J,470,NIM,280,OUA,246,,0,CRJ,0,0,0,0,0
92,2J,470,OUA,246,ABJ,253,,0,E70 CRJ M87,0,0,0,0,0
93,2J,470,OUA,246,ACC,248,,0,CRJ,0,0,0,0,0
94,2J,470,OUA,246,BKO,1044,,0,M87 CRJ,0,0,0,0,0
95,2J,470,OUA,246,BOY,247,,0,CRJ,0,0,0,0,0
96,2J,470,OUA,246,COO,245,,0,M87,0,0,0,0,0
97,2J,470,OUA,246,DKR,1084,,0,M87,0,0,0,0,0
98,2J,470,OUA,246,LFW,298,,0,CRJ,0,0,0,0,0
99,2J,470,OUA,246,NIM,280,,0,CRJ,0,0,0,0,0
100,2K,1338,BOG,2709,GYE,2673,,0,319,0,0,0,0,0
101,2K,1338,BOG,2709,UIO,2688,,0,319 320,0,0,0,0,0
102,2K,1338,CLO,2715,GYE,2673,,0,319,0,0,0,0,0
103,2K,1338,GYE,2673,BOG,2709,,0,319,0,0,0,0,0
104,2K,1338,GYE,2673,CLO,2715,,0,319,0,0,0,0,0
105,2K,1338,GYE,2673,SCY,6045,,0,319 320,0,0,0,0,0
106,2K,1338,GYE,2673,UIO,2688,,0,320 319,0,0,0,0,0
107,2K,1338,OCC,2670,UIO,2688,,0,319,0,0,0,0,0
108,2K,1338,SCY,6045,GYE,2673,,0,319 320,0,0,0,0,0
109,2K,1338,UIO,2688,BOG,2709,,0,319 320,0,0,0,0,0
